Update Date,PM Team,cusip,Portfolio Ticker,sec_desc1,Investment Team Comment
20201123,Alan McKenzie,BRTT3V5V1,ALN-PMGE1,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTT3V5V1,ALN-PMGE2,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTT3V5V1,H-ALN-CE2,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTT3V5V1,H-ALN-GE,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTT3V5V1,H-ALN-I-FD,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,92203J407,H-ALN-I-FD,VANGUARD TOTAL INTERNATIONAL BOND ,na
20201123,Alan McKenzie,999579634,PM-BNYM,CRA4 BNY MELLON                   ,na
20201123,Alan McKenzie,BRTT3V5V1,RPR-EQ,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTLG56H1,RPRF-ALT,RPRF-ALT SEPARATE ACCOUNT         ,na
20201123,Alan McKenzie,BRTT3V5V1,RPR-FI,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTT3V5V1,RPRF-LIQ,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTT3V5V1,RPR-PE,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRTSDGPS0,RPR-PE,TOTAL ALTERNATIVES FUND (A) LP    ,na
20201123,Alan McKenzie,147626105,TRES3,CASPER SLEEP INC                  ,na
20201123,Alan McKenzie,147626105,TRES7,CASPER SLEEP INC                  ,na
20201123,Alan McKenzie,BRTT3V5V1,VV-PMGE1,CRA (BNY MELLON NA MEMBER FDIC)   ,na
20201123,Alan McKenzie,BRSRYYHB7,WRGT-LIQ,WILMINGTON US GOVERNMENT MONEY MKT,na
20201123,Andrew Keegan,SB19ZLQ53,LIEGENUK,AVIVA EURO PROPERTY FOF (C) A DIST,na
20201123,Andrew Keegan,SBHXH0C88,LIEGENUK,WORSLEY INVESTORS LIMITED LTD     ,na
20201123,Andrew Keegan,BRSN311V5,MPE_VBFI,BGF GBL MULTI-AST INC FD D2 EUR HG,na
20201123,Andrew Keegan,BRS5L2KZ2,MPE_VBFI,BGF GLOBAL GOVT BND HDGD D2 EUR   ,na
20201123,Andrew Keegan,BRSN311V5,MPE_VBMAB,BGF GBL MULTI-AST INC FD D2 EUR HG,na
20201123,Andrew Keegan,BRS5L2KK5,MPE_VBMAB,BGF GLOBAL ALLOCATION HDGD D2 EUR ,na
20201123,Andrew Keegan,BRS5L2KZ2,MPE_VBMAB,BGF GLOBAL GOVT BND HDGD D2 EUR   ,na
20201123,Andrew Keegan,S91810911,MPE_VBMAB,BGF PACIFIC EQ D2 EUR             ,na
20201123,Andrew Keegan,BRSN311V5,MPE_VBMAC,BGF GBL MULTI-AST INC FD D2 EUR HG,na
20201123,Andrew Keegan,BRS5L2KZ2,MPE_VBMAC,BGF GLOBAL GOVT BND HDGD D2 EUR   ,na
20201123,Anthony Vorlicek,999258AB2,FP_LDI,SHORT-TERM INVESTMENT FUND        ,na
20201123,Ben Rees,BRS2P9637,E_LBNTPA,BIBF INDEX LINKED A               ,na
20201123,Bruno Rovelli,SBZCR4N42,BCCGAM-MA,ISHARES EDGE MSCI USA VALUE FACTOR,na
20201123,Carl Kool,BRTN4Y5R6,E_TNVANEU,VANGUARD EUROPA CCF               ,na
20201123,Carl Kool,922040209,E_TNVANUS,VANGUARD INST INX CL INST PLS     ,na
20201123,Carl Kool,922042650,E_TNVEXM,VANGRD EMERGING MKT CL INST PLS   ,na
20201123,Carl Kool,BRTJW5K33,TNECPS-AA,THALES REAL ESTATE                ,na
20201123,Carl Kool,BRSNAUDM0,TNOEYREXM,ROBECO CAP GR FD ROBECOEUROPEANHIG,na
20201123,Christopher Ellis Thomas,BRTV9F172,MPE_CTAOB,Markit iBoxx Euro Liquid High Yiel,na
20201123,Christopher Ellis Thomas,BRS93N957,MPE_CTDOB,BGF EURO SHORT DURATION BD I2 EUR ,na
20201123,Christopher Ellis Thomas,BRTV9F149,MPE_CTDOB,ICE BofAML Treasury 1-10 Yr (G5O2),na
20201123,Christopher Ellis Thomas,BRTV9F172,MPE_CTDOB,Markit iBoxx Euro Liquid High Yiel,na
20201123,Christopher Ellis Thomas,BRS93N957,MPE_CTDPOB,BGF EURO SHORT DURATION BD I2 EUR ,na
20201123,Christopher Ellis Thomas,BRTV9F149,MPE_CTDPOB,ICE BofAML Treasury 1-10 Yr (G5O2),na
20201123,Christopher Ellis Thomas,BRTV9F172,MPE_CTDPOB,Markit iBoxx Euro Liquid High Yiel,na
20201123,Christopher Ellis Thomas,BRTV9F172,MPE_CTMOB,Markit iBoxx Euro Liquid High Yiel,na
20201123,Christopher Ellis Thomas,BRTV9F172,MPE_CTMPOB,Markit iBoxx Euro Liquid High Yiel,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP20,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP23,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP26,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP29,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP32,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP35,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP38,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP41,FAIRSTONE CASH                    ,na
20201123,Dominic Byrne,BRTZ37FQ0,FSTLP44,FAIRSTONE CASH                    ,na
